DATE,SYMBOL,SCORE,CLOSE_PRICE,RSI,RETURN_15D
2026-02-11,SHARDACROP,7,1135.9,74.46098771458793,41.46584469767731
2026-02-11,BHARATFORG,7,1676.4,73.2220747202731,21.47826086956521
2026-02-11,OIL,7,479.25,63.13689379987723,10.540883404451606
2026-02-11,SBIN,7,1182.9,71.83190004867762,14.99538229718562
2026-02-11,JKTYRE,7,604.9,73.1042007637752,18.387317741461985
2026-02-11,ONGC,7,274.6,69.44197279776284,13.297850394025668
2026-02-11,ASHOKLEY,7,206.35,69.77602756583804,13.85455749282718
2026-02-11,IDBI,7,111.31,63.77376889322283,13.350305498981662
2026-02-11,GRASIM,7,2932.6,63.526119402985074,7.201345225910227
2026-02-11,ICICIB22,7,125.07,67.82387806943265,8.407731646008475
2026-02-12,JKTYRE,7,582.75,69.3222969477496,12.024221453287186
2026-02-12,ASHOKLEY,7,211.02,71.1737089201878,10.899726718520085
2026-02-12,OIL,7,474.85,61.75322725908137,8.798258677969994
2026-02-12,ICICIB22,7,125.12,72.25719424460432,7.261037291041572
